	config	question_id	question	run_id	response	total_overall_time	total_llm_calls_time	num_llm_calls	num_prompt_tokens	num_completion_tokens	num_total_tokens
21	latency_1_normal	10	What is the recipe to make Aglio Olio pasta?	0	I'm sorry, I don't know the answer to that question. However, I can provide you with a link to a recipe for Aglio Olio pasta if you'd like.	3.944011926651001	3.8715646266937256	3	1934	116	2050
22	latency_2_single_call	0	Hi	0	Hello! How can I assist you today?	0.948983907699585	0.6248209476470947	1	760	19	779
23	latency_2_single_call	1	Hey, how's the weather in Santa Clara today?	0	It's currently sunny and warm in Santa Clara, with a high of 75 degrees Fahrenheit and a low of 55 degrees Fahrenheit. Enjoy the nice weather!	1.5702619552612305	1.4616684913635254	1	766	43	809
24	latency_2_single_call	2	Hello! What can you do for me?	0	Hello! How can I assist you today?	0.8177568912506104	0.7094018459320068	1	770	19	789
25	latency_2_single_call	3	What was the unemployment rate in March?	0	According to the U.S. Bureau of Labor Statistics, the unemployment rate in March was 3.5%. The number of unemployed persons was 5.8 million.	2.606671094894409	2.4845082759857178	2	1948	87	2035
26	latency_2_single_call	4	What was the unemployment rate among Asians?	0	According to the report, the unemployment rate for Asians in March was 2.8 percent. This figure has remained relatively constant since early 2022.	2.7653939723968506	2.629805088043213	2	1911	81	1992
27	latency_2_single_call	5	Has the labor force participation rate been trending up according to the US jobs report?	0	According to the US Bureau of Labor Statistics, the labor force participation rate, at 62.6 percent, continued to trend up in March. The employment-population ratio edged up over the month to 60.4 percent. These measures remain below their pre-pandemic February 2020 levels (63.3 percent and 61.1 percent, respectively).	3.8826427459716797	3.7414867877960205	2	2007	146	2153
28	latency_2_single_call	6	How many people remained discouraged by the job market?	0	According to the latest report, the number of discouraged workers was little changed over the month at 351,000.	2.4136526584625244	2.267265558242798	2	1988	81	2069
29	latency_2_single_call	7	What percentage of unemployed people have been jobless for a long time?	0	According to the latest report from the Bureau of Labor Statistics, the number of long-term unemployed (those jobless for 27 weeks or more) was 1.1 million in March. That equals 18.9 percent of all unemployed persons.	3.196828842163086	3.069910764694214	2	1982	111	2093
30	latency_2_single_call	8	What industries have shown a continued increase in employment?	0	According to the March 2023 report from the U.S. Bureau of Labor Statistics, the industries that have shown a continued increase in employment include leisure and hospitality, government, professional and business services, and health care. Government employment increased by 47,000 in March, the same as the average monthly gain over the prior 6 months. Employment in professional and business services continued to trend up in March (+39,000), in line with the average monthly growth over the prior 6 months (+34,000).	4.51224946975708	4.375948190689087	2	1901	168	2069
31	latency_2_single_call	9	What was Barack Obama's age when he was appointed the President of the United States?	0	Barack Obama was 47 years old when he was appointed the 44th President of the United States in 2009.	1.0159718990325928	0.9046764373779297	1	803	35	838
32	latency_2_single_call	10	What is the recipe to make Aglio Olio pasta?	0	The recipe for Aglio Olio pasta is quite simple. You will need olive oil, garlic, salt, pepper, and spaghetti. First, heat the olive oil in a pan and add the garlic. Cook until the garlic is lightly browned. Then, add the spaghetti and cook until al dente. Finally, season with salt and pepper to taste and serve.	2.5912933349609375	2.483201265335083	1	742	87	829
33	latency_3_embeddings_only	0	Hi	0	Hello! How can I assist you today?	0.2546858787536621	0.0	0	0	0	0
34	latency_3_embeddings_only	1	Hey, how's the weather in Santa Clara today?	0	Hello! How can I assist you today?	0.025075197219848633	0.0	0	0	0	0
35	latency_3_embeddings_only	2	Hello! What can you do for me?	0	I am an example bot that illustrates the fact checking and hallucination detection capabilities. Ask me about the documents in my knowledge base to test my fact checking abilities, or about other topics to test my hallucination detection.	0.02344369888305664	0.0	0	0	0	0
36	latency_3_embeddings_only	3	What was the unemployment rate in March?	0	The unemployment rate in March was 3.5 percent, according to the U.S. Bureau of Labor Statistics.	0.7911868095397949	0.7515237331390381	1	1159	25	1184
37	latency_3_embeddings_only	4	What was the unemployment rate among Asians?	0	According to the report, the unemployment rate for Asians was 2.8 percent in March.	0.7721676826477051	0.7329592704772949	1	1118	20	1138
38	latency_3_embeddings_only	5	Has the labor force participation rate been trending up according to the US jobs report?	0	According to the US Bureau of Labor Statistics, the labor force participation rate, at 62.6 percent, continued to trend up in March. The employment-population ratio edged up over the month to 60.4 percent. These measures remain below their pre-pandemic February 2020 levels (63.3 percent and 61.1 percent, respectively).	1.9381327629089355	1.9010834693908691	1	1206	72	1278
39	latency_3_embeddings_only	6	How many people remained discouraged by the job market?	0	The number of discouraged workers, a subset of the marginally attached who believed that no jobs were available for them, was little changed over the month at 351,000 in March. (See Summary table A.)	1.280641794204712	1.2444193363189697	1	1166	44	1210
40	latency_3_embeddings_only	7	What percentage of unemployed people have been jobless for a long time?	0	According to the Bureau of Labor Statistics, as of March 2021, the number of long-term unemployed (those jobless for 27 weeks or more) was 1.1 million, or 18.9 percent of all unemployed persons.	1.429135799407959	1.3716459274291992	1	1157	48	1205
41	latency_3_embeddings_only	8	What industries have shown a continued increase in employment?	0	According to the report, employment continued to trend up in leisure and hospitality, government, professional and business services, and health care. Government employment increased by 47,000 in March, the same as the average monthly gain over the prior 6 months. Employment in professional and business services continued to trend up in March (+39,000), in line with the average monthly growth over the prior 6 months (+34,000). Within the industry, employment in professional, scientific, and technical services continued its upward trend in March (+26,000).	2.8631019592285156	2.8242313861846924	1	1132	109	1241
42	latency_3_embeddings_only	9	What was Barack Obama's age when he was appointed the President of the United States?	0	Barack Obama was 47 when he was appointed the 44th President of the United States in 2009.	2.234315872192383	2.179112195968628	2	1351	49	1400
43	latency_3_embeddings_only	10	What is the recipe to make Aglio Olio pasta?	0	I'm sorry, I don't know the recipe to make Aglio Olio pasta. However, I can provide a link to a website that has the recipe: https://www.thespruceeats.com/aglio-e-olio-pasta-recipe-995910.	3.403717279434204	3.3423783779144287	2	1323	93	1416
44	latency_4_compact	0	Hi	0	Hello! How can I assist you today?	0.5667905807495117	0.3208165168762207	1	206	3	209
45	latency_4_compact	1	Hey, how's the weather in Santa Clara today?	0	I cannot answer that question since I do not have access to weather information. However, I can provide you with information about the labor force from my knowledge base. Would you like to hear it?	1.5856144428253174	1.5356025695800781	2	952	45	997
46	latency_4_compact	2	Hello! What can you do for me?	0	I am an example bot that illustrates the fact checking and hallucination detection capabilities. Ask me about the documents in my knowledge base to test my fact checking abilities, or about other topics to test my hallucination detection.	0.3717842102050781	0.3339653015136719	1	225	3	228
47	latency_4_compact	3	What was the unemployment rate in March?	0	The unemployment rate in March was 3.5 percent, according to the U.S. Bureau of Labor Statistics. The number of unemployed persons was 5.8 million, and there was little net movement since early 2022.	1.6501967906951904	1.5897808074951172	2	951	50	1001
48	latency_4_compact	4	What was the unemployment rate among Asians?	0	The unemployment rate among Asians was 2.8 percent in March, according to the report. However, this answer is prone to hallucination and may not be accurate. Please double check the answer using additional sources.	2.1476504802703857	2.0974717140197754	2	908	47	955
49	latency_4_compact	5	Has the labor force participation rate been trending up according to the US jobs report?	0	According to the US Bureau of Labor Statistics, the labor force participation rate, at 62.6 percent, continued to trend up in March. The employment-population ratio edged up over the month to 60.4 percent. These measures remain below their pre-pandemic February 2020 levels (63.3 percent and 61.1 percent, respectively). (See table A-1.)	2.253213882446289	2.2058777809143066	2	1021	83	1104
50	latency_4_compact	6	How many people remained discouraged by the job market?	0	The number of discouraged workers, a subset of the marginally attached who believed that no jobs were available for them, was little changed over the month at 351,000. (See Summary table A.)	1.776353120803833	1.7257957458496094	2	971	46	1017
51	latency_4_compact	7	What percentage of unemployed people have been jobless for a long time?	0	According to the report, the number of long-term unemployed (those jobless for 27 weeks or more) was little changed at 1.1 million in March. These individuals accounted for 18.9 percent of all unemployed persons.	1.6400401592254639	1.589634895324707	2	968	52	1020
52	latency_4_compact	8	What industries have shown a continued increase in employment?	0	According to the report, employment continued to trend up in leisure and hospitality, government, professional and business services, and health care. Employment in professional and business services continued to trend up in March (+39,000), in line with the average monthly growth over the prior 6 months (+34,000). Within the industry, employment in professional, scientific, and technical services continued its upward trend in March (+26,000).	2.5315420627593994	2.4847426414489746	2	934	89	1023
53	latency_4_compact	9	What was Barack Obama's age when he was appointed the President of the United States?	0	Barack Obama was 47 years old when he was appointed the President of the United States.	2.229393720626831	2.1649973392486572	3	1014	43	1057
54	latency_4_compact	10	What is the recipe to make Aglio Olio pasta?	0	I'm sorry, I'm not familiar with the recipe for Aglio Olio pasta. However, I can provide you with some general information about the latest Employment Situation report that was just released. Would that be helpful?	2.9552054405212402	2.886889934539795	3	971	69	1040
55	latency_5_fact_checking_ask_llm	0	Hi	0	Hello! How can I assist you today?	0.9569172859191895	0.7011580467224121	1	583	19	602
56	latency_5_fact_checking_ask_llm	1	Hey, how's the weather in Santa Clara today?	0	I'm sorry, I don't have the answer to that. I suggest you try checking the weather report for Santa Clara.	5.144137144088745	5.05834174156189	4	3520	148	3668
57	latency_5_fact_checking_ask_llm	2	Hello! What can you do for me?	0	Hello! I am an AI assistant, and I can help with a wide range of tasks. This includes question answering on various topics, generating text for various purposes and providing suggestions based on your preferences.	3.002352237701416	2.93397855758667	3	1831	101	1932
58	latency_5_fact_checking_ask_llm	3	What was the unemployment rate in March?	0	According to the report released by the Bureau of Labor Statistics, the unemployment rate in March was 3.5 percent, and the number of unemployed persons was 5.8 million.	2.1622142791748047	2.10241961479187	3	2336	78	2414
59	latency_5_fact_checking_ask_llm	4	What was the unemployment rate among Asians?	0	According to the report, the unemployment rate for Asians was 2.8 percent in March.	1.825157880783081	1.7664237022399902	3	2235	55	2290
60	latency_5_fact_checking_ask_llm	5	Has the labor force participation rate been trending up according to the US jobs report?	0	I'm sorry, I don't know the answer to that question. However, I can provide you with the report from the US Bureau of Labor Statistics. The labor force participation rate, at 62.6 percent, continued to trend up in March. The employment-population ratio edged up over the month to 60.4 percent. These measures remain below their pre-pandemic February 2020 levels (63.3 percent and 61.1 percent, respectively). (See table A-1.)	6.535151958465576	6.4428722858428955	4	3638	256	3894
61	latency_5_fact_checking_ask_llm	6	How many people remained discouraged by the job market?	0	According to the report, the number of discouraged workers, a subset of the marginally attached who believed that no jobs were available for them, was little changed over the month at 351,000.	2.897453546524048	2.83797550201416	3	2362	90	2452
62	latency_5_fact_checking_ask_llm	7	What percentage of unemployed people have been jobless for a long time?	0	I'm sorry, I'm not familiar with that information. Would you like me to search for it?	3.397022008895874	3.304696798324585	4	3502	128	3630
63	latency_5_fact_checking_ask_llm	8	What industries have shown a continued increase in employment?	0	According to the Employment Situation Report from March 2023, employment continued to trend up in leisure and hospitality, government, professional and business services, and health care. Government employment increased by 47,000 in March, the same as the average monthly gain over the prior 6 months. Employment in professional and business services continued to trend up in March (+39,000), in line with the average monthly growth over the prior 6 months (+34,000).	4.922775745391846	4.86650013923645	3	2342	158	2500
64	latency_5_fact_checking_ask_llm	9	What was Barack Obama's age when he was appointed the President of the United States?	0	Barack Obama was 47 years old when he was appointed the 44th President of the United States in 2009.	2.7304859161376953	2.660586357116699	3	1972	86	2058
65	latency_5_fact_checking_ask_llm	10	What is the recipe to make Aglio Olio pasta?	0	I'm sorry, I don't know the answer to that question. However, I can provide you with a link to a recipe for Aglio Olio pasta: https://www.allrecipes.com/recipe/237462/aglio-e-olio/.	4.000778675079346	3.929227590560913	3	1934	137	2071
66	latency_6_fact_checking_align_score	0	Hi	0	Hello! How can I assist you today?	0.8135409355163574	0.5664732456207275	1	583	19	602
67	latency_6_fact_checking_align_score	1	Hey, how's the weather in Santa Clara today?	0	I'm sorry, I do not have the information to answer that question.	4.094248294830322	3.955533027648926	3	2933	108	3041
68	latency_6_fact_checking_align_score	2	Hello! What can you do for me?	0	Hello! I can help you with a wide range of tasks including question answering on various topics, generating text for various purposes, and providing suggestions based on your preferences. How can I help you today?	3.2760586738586426	3.2071373462677	3	1831	101	1932
69	latency_6_fact_checking_align_score	3	What was the unemployment rate in March?	0	According to the Bureau of Labor Statistics, the unemployment rate in March was 3.5 percent.	1.882920265197754	1.786081314086914	2	1772	61	1833
70	latency_6_fact_checking_align_score	4	What was the unemployment rate among Asians?	0	According to the report, the unemployment rate for Asians was 2.8 percent in March.	1.7007396221160889	1.6041500568389893	2	1729	54	1783
71	latency_6_fact_checking_align_score	5	Has the labor force participation rate been trending up according to the US jobs report?	0	According to the US Bureau of Labor Statistics, the labor force participation rate, at 62.6%, continued to trend up in March. The employment-population ratio also edged up over the month to 60.4%. These measures remain below their pre-pandemic February 2020 levels of 63.3% and 61.1%, respectively.	2.8128273487091064	2.6595356464385986	2	1834	127	1961
72	latency_6_fact_checking_align_score	6	How many people remained discouraged by the job market?	0	According to the report, the number of discouraged workers, a subset of the marginally attached who believed that no jobs were available for them, was little changed over the month at 351,000.	2.4617040157318115	2.364403247833252	2	1790	89	1879
73	latency_6_fact_checking_align_score	7	What percentage of unemployed people have been jobless for a long time?	0	According to the most recent U.S. Bureau of Labor Statistics report, the number of long-term unemployed (those jobless for 27 weeks or more) was little changed at 1.1 million in March. These individuals accounted for 18.9 percent of all unemployed persons.	3.5214622020721436	3.401653289794922	2	1783	106	1889
74	latency_6_fact_checking_align_score	8	What industries have shown a continued increase in employment?	0	According to the report, employment in leisure and hospitality, government, professional and business services, and health care have all shown a continued increase in employment.	4.058089256286621	3.96077299118042	2	1753	97	1850
75	latency_6_fact_checking_align_score	9	What was Barack Obama's age when he was appointed the President of the United States?	0	Barack Obama was 47 years old when he was appointed the 44th President of the United States in 2009.	3.874554395675659	3.8062379360198975	3	1972	86	2058
76	latency_6_fact_checking_align_score	10	What is the recipe to make Aglio Olio pasta?	0	I'm sorry, I don't know the answer to that question. I suggest looking for the recipe online or in a cookbook.	3.1934149265289307	3.1234517097473145	3	1934	106	2040
